Date,Event,unifiedAppName,"May 20 2024, 12:00AM - May 15 2025, 7:09PM"
2024-06-03,All Events [Unique Users],RingExForGoogle,0
2024-06-03,All Events [Unique Users],RoomsController,460
2024-06-03,All Events [Unique Users],RoomsHost RCVideo,0
2024-06-03,All Events [Unique Users],RoomsHost,489
2024-06-03,All Events [Unique Users],TELUS Business Connect for Teams,7
2024-06-03,All Events [Unique Users],Unify Office,0
2024-06-03,All Events [Unique Users],UnifyOfficeDesktop,10300
2024-06-03,All Events [Unique Users],UnifyOfficeMobile,3956
2024-06-03,All Events [Unique Users],UnifyOfficeWeb,500
2024-06-03,All Events [Unique Users],VodafoneBusinessDesktop,13811
2024-06-03,All Events [Unique Users],VodafoneBusinessMobile,14352
2024-06-03,All Events [Unique Users],VodafoneBusinessWeb,559
2024-06-10,All Events [Unique Users],AT&T Office@Hand for Teams,10
2024-06-10,All Events [Unique Users],AvayaCloudDesktop,73798
2024-06-10,All Events [Unique Users],AvayaCloudMobile,41684
2024-06-10,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-06-10,All Events [Unique Users],AvayaCloudOfficeForTeams,5
2024-06-10,All Events [Unique Users],AvayaCloudWeb,4529
2024-06-10,All Events [Unique Users],BT Cloud Work for Teams,2
2024-06-10,All Events [Unique Users],BTCloudWorkDesktop,15256
2024-06-10,All Events [Unique Users],BTCloudWorkForTeams,865
2024-06-10,All Events [Unique Users],BTCloudWorkMobile,19647
2024-06-10,All Events [Unique Users],BTCloudWorkWeb,672
2024-06-10,All Events [Unique Users],BusinessConnectDesktop,27263
2024-06-10,All Events [Unique Users],BusinessConnectForTeams,1408
2024-06-10,All Events [Unique Users],BusinessConnectMobile,42556
2024-06-10,All Events [Unique Users],BusinessConnectWeb,1543
2024-06-10,All Events [Unique Users],OfficeAtHandDesktop,38011
2024-06-10,All Events [Unique Users],OfficeAtHandForTeams,969
2024-06-10,All Events [Unique Users],OfficeAtHandMobile,37854
2024-06-10,All Events [Unique Users],OfficeAtHandWeb,3682
2024-06-10,All Events [Unique Users],RCAppBizDesktop,438
2024-06-10,All Events [Unique Users],RCAppBizWeb,51
2024-06-10,All Events [Unique Users],RCAppClassicDesktop,1
2024-06-10,All Events [Unique Users],RCAppClassicWeb,0
2024-06-10,All Events [Unique Users],RCAppDesktoP,0
2024-06-10,All Events [Unique Users],RCAppDesktop,1252560
2024-06-10,All Events [Unique Users],RCAppMobile,988767
2024-06-10,All Events [Unique Users],RCAppSoloMobile,1
2024-06-10,All Events [Unique Users],RCAppWeb,140834
2024-06-10,All Events [Unique Users],RCIntuneAppMobile,3092
2024-06-10,All Events [Unique Users],RCSoloAppMobile,51
2024-06-10,All Events [Unique Users],RainbowOfficeDesktop,1
2024-06-10,All Events [Unique Users],RainbowOfficeMobile,0
2024-06-10,All Events [Unique Users],RainbowOfficeWeb,0
2024-06-10,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-06-10,All Events [Unique Users],RingCentral for Teams,31
2024-06-10,All Events [Unique Users],RingCentral,0
2024-06-10,All Events [Unique Users],RingCentralForTeams,63418
2024-06-10,All Events [Unique Users],RingExForGoogle,0
2024-06-10,All Events [Unique Users],RoomsController,452
2024-06-10,All Events [Unique Users],RoomsHost RCVideo,1
2024-06-10,All Events [Unique Users],RoomsHost,490
2024-06-10,All Events [Unique Users],TELUS Business Connect for Teams,10
2024-06-10,All Events [Unique Users],Unify Office,0
2024-06-10,All Events [Unique Users],UnifyOfficeDesktop,10227
2024-06-10,All Events [Unique Users],UnifyOfficeMobile,4070
2024-06-10,All Events [Unique Users],UnifyOfficeWeb,465
2024-06-10,All Events [Unique Users],VodafoneBusinessDesktop,13795
2024-06-10,All Events [Unique Users],VodafoneBusinessMobile,14569
2024-06-10,All Events [Unique Users],VodafoneBusinessWeb,504
2024-06-17,All Events [Unique Users],AT&T Office@Hand for Teams,5
2024-06-17,All Events [Unique Users],AvayaCloudDesktop,73187
2024-06-17,All Events [Unique Users],AvayaCloudMobile,41329
2024-06-17,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-06-17,All Events [Unique Users],AvayaCloudOfficeForTeams,68
2024-06-17,All Events [Unique Users],AvayaCloudWeb,4414
2024-06-17,All Events [Unique Users],BT Cloud Work for Teams,2
2024-06-17,All Events [Unique Users],BTCloudWorkDesktop,15112
2024-06-17,All Events [Unique Users],BTCloudWorkForTeams,903
2024-06-17,All Events [Unique Users],BTCloudWorkMobile,19638
2024-06-17,All Events [Unique Users],BTCloudWorkWeb,680
2024-06-17,All Events [Unique Users],BusinessConnectDesktop,26943
2024-06-17,All Events [Unique Users],BusinessConnectForTeams,1488
2024-06-17,All Events [Unique Users],BusinessConnectMobile,42216
2024-06-17,All Events [Unique Users],BusinessConnectWeb,1522
2024-06-17,All Events [Unique Users],OfficeAtHandDesktop,37348
2024-06-17,All Events [Unique Users],OfficeAtHandForTeams,973
2024-06-17,All Events [Unique Users],OfficeAtHandMobile,37665
2024-06-17,All Events [Unique Users],OfficeAtHandWeb,3693
2024-06-17,All Events [Unique Users],RCAppBizDesktop,432
2024-06-17,All Events [Unique Users],RCAppBizWeb,57
2024-06-17,All Events [Unique Users],RCAppClassicDesktop,0
2024-06-17,All Events [Unique Users],RCAppClassicWeb,0
2024-06-17,All Events [Unique Users],RCAppDesktoP,0
2024-06-17,All Events [Unique Users],RCAppDesktop,1266185
2024-06-17,All Events [Unique Users],RCAppMobile,1005197
2024-06-17,All Events [Unique Users],RCAppSoloMobile,0
2024-06-17,All Events [Unique Users],RCAppWeb,138428
2024-06-17,All Events [Unique Users],RCIntuneAppMobile,2983
2024-06-17,All Events [Unique Users],RCSoloAppMobile,44
2024-06-17,All Events [Unique Users],RainbowOfficeDesktop,0
2024-06-17,All Events [Unique Users],RainbowOfficeMobile,3
2024-06-17,All Events [Unique Users],RainbowOfficeWeb,0
2024-06-17,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-06-17,All Events [Unique Users],RingCentral for Teams,23
2024-06-17,All Events [Unique Users],RingCentral,0
2024-06-17,All Events [Unique Users],RingCentralForTeams,65069
2024-06-17,All Events [Unique Users],RingExForGoogle,0
2024-06-17,All Events [Unique Users],RoomsController,431
